Agent,Author,Repo,CommitSha,smell_type,smell_name,Method,Line,File,Description
Claude_Code,graphistry,pygraphistry,a1141d950f4c0fcf028dfd591cb189e03d38e233,implementation,Long statement,_validate_call_op,311,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/files_changed/Claude_Code/graphistry$pygraphistry/a1141d950f4c0fcf028dfd591cb189e03d38e233/graphistry/compute/validate/validate_schema.py,A line with 648 chars in _validate_call_op exceeds the maximum length of 120 characters.
Claude_Code,graphistry,pygraphistry,a1141d950f4c0fcf028dfd591cb189e03d38e233,implementation,Long statement,_validate_call_op,356,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/files_changed/Claude_Code/graphistry$pygraphistry/a1141d950f4c0fcf028dfd591cb189e03d38e233/graphistry/compute/validate/validate_schema.py,A line with 288 chars in _validate_call_op exceeds the maximum length of 120 characters.
Claude_Code,graphistry,pygraphistry,a1141d950f4c0fcf028dfd591cb189e03d38e233,implementation,Long statement,_validate_call_op,376,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/files_changed/Claude_Code/graphistry$pygraphistry/a1141d950f4c0fcf028dfd591cb189e03d38e233/graphistry/compute/validate/validate_schema.py,A line with 288 chars in _validate_call_op exceeds the maximum length of 120 characters.
Claude_Code,graphistry,pygraphistry,6b88c9a4eb09efdcea37d8b476340cb58fb9b7b0,implementation,Long statement,_validate_call_op,311,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/files_changed/Claude_Code/graphistry$pygraphistry/6b88c9a4eb09efdcea37d8b476340cb58fb9b7b0/graphistry/compute/validate/validate_schema.py,A line with 648 chars in _validate_call_op exceeds the maximum length of 120 characters.
Claude_Code,graphistry,pygraphistry,6b88c9a4eb09efdcea37d8b476340cb58fb9b7b0,implementation,Long statement,_validate_call_op,356,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/files_changed/Claude_Code/graphistry$pygraphistry/6b88c9a4eb09efdcea37d8b476340cb58fb9b7b0/graphistry/compute/validate/validate_schema.py,A line with 288 chars in _validate_call_op exceeds the maximum length of 120 characters.
Claude_Code,graphistry,pygraphistry,6b88c9a4eb09efdcea37d8b476340cb58fb9b7b0,implementation,Long statement,_validate_call_op,376,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/files_changed/Claude_Code/graphistry$pygraphistry/6b88c9a4eb09efdcea37d8b476340cb58fb9b7b0/graphistry/compute/validate/validate_schema.py,A line with 288 chars in _validate_call_op exceeds the maximum length of 120 characters.
OpenAI_Codex,OEvortex,Webscout,a3d9e30097f31da9a9cef21eec709ca392cac4a1,implementation,Long statement,_create_payload,116,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/files_changed/OpenAI_Codex/OEvortex$Webscout/a3d9e30097f31da9a9cef21eec709ca392cac4a1/webscout/Provider/TTI/pixelmuse.py,A line with 301 chars in _create_payload exceeds the maximum length of 120 characters.
Devin,crewAIInc,crewAI-tools,e620876c1398aa6007bd875ae48a7200ea5d8f98,implementation,Long identifier,test_docker_connection_error_in_init_container,195,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/files_changed/Devin/crewAIInc$crewAI-tools/e620876c1398aa6007bd875ae48a7200ea5d8f98/tests/tools/test_code_interpreter_tool.py,Identifier'test_docker_connection_error_in_init_container' exceeds the maximum length of 30 characters.
OpenAI_Codex,stanford-crfm,levanter,a06964f07d0251f388dbe16acaf8a7d6981b3f37,implementation,Long statement,_roundtrip_compare_llama_checkpoint,59,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/files_changed/OpenAI_Codex/stanford-crfm$levanter/a06964f07d0251f388dbe16acaf8a7d6981b3f37/tests/test_hf_llama_serialize.py,A line with 139 chars in _roundtrip_compare_llama_checkpoint exceeds the maximum length of 120 characters.
Devin,disler,single-file-agents,b321cb80037d35fe0857e698c74fba5c95bfdcad,implementation,Long statement,view_file,25,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/files_changed/Devin/disler$single-file-agents/b321cb80037d35fe0857e698c74fba5c95bfdcad/example-agent-codebase-arch/vertical-slice-architecture/features/file_operations/service.py,A line with 273 chars in view_file exceeds the maximum length of 120 characters.
