Agent,Author,Repo,CommitSha,smell_type,smell_name,Method,Line,File,Description
Human,unclecode,crawl4ai,a3b0cab52a813f505db0f58e40079b4e8d817a6a,implementation,Magic number,main,1413,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/Human/unclecode$crawl4ai/Human/unclecode$crawl4ai/a3b0cab52a813f505db0f58e40079b4e8d817a6a/crawl4ai/cli.py,Magic number 2 used in main.
Human,TobikoData,sqlmesh,66b42523a280513ab975472b1a1dc5af6f5e166f,implementation,Magic number,test_project_level_properties_python_model,4101,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/Human/TobikoData$sqlmesh/Human/TobikoData$sqlmesh/66b42523a280513ab975472b1a1dc5af6f5e166f/tests/core/test_model.py,Magic number 13 used in test_project_level_properties_python_model.
Human,marimo-team,marimo,db1a68e134683b898b89614c1349dc9c9fc57c84,implementation,Long statement,initialize_script_context,135,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/Human/marimo-team$marimo/Human/marimo-team$marimo/db1a68e134683b898b89614c1349dc9c9fc57c84/marimo/_runtime/context/script_context.py,A line with 370 chars in initialize_script_context exceeds the maximum length of 120 characters.
Human,microsoft,graphrag,ad4cdd685f4457acf06126e37594835f6d098b6b,implementation,Complex method,_build_text_unit_context,306 - 375,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/Human/microsoft$graphrag/Human/microsoft$graphrag/ad4cdd685f4457acf06126e37594835f6d098b6b/graphrag/query/structured_search/local_search/mixed_context.py,"Method '_build_text_unit_context' has a cyclomatic complexity of 12, exceeding the max of 6."
Cursor,ucbepic,docetl,5dfacdc8b5f8f684d5222999d379cbffceed55e5,implementation,Magic number,parallel_map_config_with_batching,121,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/Cursor/ucbepic$docetl/5dfacdc8b5f8f684d5222999d379cbffceed55e5/tests/conftest.py,Magic number 2 used in parallel_map_config_with_batching.
Human,pytorch,pytorch,d3524ecdd6b23b1283bd5fbbfcafc8f1bb311be7,implementation,Magic number,_linalg_svd_meta,1453,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/Human/pytorch$pytorch/Human/pytorch$pytorch/d3524ecdd6b23b1283bd5fbbfcafc8f1bb311be7/torch/_meta_registrations.py,Magic number 2 used in _linalg_svd_meta.
Human,skypilot-org,skypilot,f7274088637288f4397434a347cff25f47a0b85f,implementation,Long statement,_check_docker_login_config,121,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/Human/skypilot-org$skypilot/Human/skypilot-org$skypilot/f7274088637288f4397434a347cff25f47a0b85f/sky/task.py,A line with 374 chars in _check_docker_login_config exceeds the maximum length of 120 characters.
Human,skypilot-org,skypilot,f7274088637288f4397434a347cff25f47a0b85f,implementation,Long statement,_check_docker_login_config,138,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/Human/skypilot-org$skypilot/Human/skypilot-org$skypilot/f7274088637288f4397434a347cff25f47a0b85f/sky/task.py,A line with 128 chars in _check_docker_login_config exceeds the maximum length of 120 characters.
Human,reflex-dev,reflex,346ccf746bba95b3762e23a7f9d749f0ab6774cc,implementation,Long lambda function,deploy,627,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/Human/reflex-dev$reflex/Human/reflex-dev$reflex/346ccf746bba95b3762e23a7f9d749f0ab6774cc/reflex/reflex.py,A Lambda with 249 chars in deploy exceeds the maximum length of 80 characters.
OpenAI_Codex,bmander,graphserver,411586b387f8f51722cfb87ea974e89441bfd541,design,Multifaceted abstraction,,63,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/OpenAI_Codex/bmander$graphserver/411586b387f8f51722cfb87ea974e89441bfd541/python/tests/test_osm_simple_routing.py,"Class 'TestSimpleOSMRouting' has a high LCOM value of 1, indicating it may have multiple responsibilities."
Devin,AgentOps-AI,agentops,38c3ebcdee92c423eef634d3d53ff8ab1290fc56,implementation,Magic number,__init__,56,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/Devin/AgentOps-AI$agentops/38c3ebcdee92c423eef634d3d53ff8ab1290fc56/agentops/telemetry/processors.py,Magic number 0.05 used in __init__.
Human,reflex-dev,reflex,346ccf746bba95b3762e23a7f9d749f0ab6774cc,implementation,Long statement,run_frontend_prod,167,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/Human/reflex-dev$reflex/Human/reflex-dev$reflex/346ccf746bba95b3762e23a7f9d749f0ab6774cc/reflex/utils/exec.py,A line with 224 chars in run_frontend_prod exceeds the maximum length of 120 characters.
Human,reflex-dev,reflex,346ccf746bba95b3762e23a7f9d749f0ab6774cc,implementation,Long statement,run_frontend_prod,182,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/Human/reflex-dev$reflex/Human/reflex-dev$reflex/346ccf746bba95b3762e23a7f9d749f0ab6774cc/reflex/utils/exec.py,A line with 123 chars in run_frontend_prod exceeds the maximum length of 120 characters.
Human,microsoft,graphrag,ad4cdd685f4457acf06126e37594835f6d098b6b,implementation,Long parameter list,__init__,36 - 56,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/Human/microsoft$graphrag/Human/microsoft$graphrag/ad4cdd685f4457acf06126e37594835f6d098b6b/graphrag/query/structured_search/local_search/search.py,"__init__ has 8 parameters, exceeding the max of 5."
Human,skypilot-org,skypilot,4e91be1eb3840458dd2441c49fcab53b06c0fce7,implementation,Long identifier,test_get_reservations_available_resources,28,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/Human/skypilot-org$skypilot/Human/skypilot-org$skypilot/4e91be1eb3840458dd2441c49fcab53b06c0fce7/tests/unit_tests/test_resources.py,Identifier'test_get_reservations_available_resources' exceeds the maximum length of 30 characters.
Human,microsoft,graphrag,ad4cdd685f4457acf06126e37594835f6d098b6b,implementation,Long parameter list,__init__,53 - 85,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/Human/microsoft$graphrag/Human/microsoft$graphrag/ad4cdd685f4457acf06126e37594835f6d098b6b/graphrag/query/structured_search/local_search/mixed_context.py,"__init__ has 9 parameters, exceeding the max of 5."
Human,exo-lang,exo,9ee8d9ae5425cec6aa03f9b451ad9ac9ab458fc2,implementation,Complex method,__init__,95 - 146,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/Human/exo-lang$exo/Human/exo-lang$exo/9ee8d9ae5425cec6aa03f9b451ad9ac9ab458fc2/src/exo/frontend/typecheck.py,"Method '__init__' has a cyclomatic complexity of 12, exceeding the max of 6."
Human,exo-lang,exo,f315a409ae60135f020a47d0ac8d5d13e67faa1e,implementation,Complex method,__init__,96 - 147,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/Human/exo-lang$exo/Human/exo-lang$exo/f315a409ae60135f020a47d0ac8d5d13e67faa1e/src/exo/frontend/typecheck.py,"Method '__init__' has a cyclomatic complexity of 12, exceeding the max of 6."
Human,a16z,halmos,a307d0609c2b32b4e02837ca679879a0df4f0ce8,implementation,Magic number,assert_uint256,565,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/Human/a16z$halmos/Human/a16z$halmos/a307d0609c2b32b4e02837ca679879a0df4f0ce8/src/halmos/utils.py,Magic number 256 used in assert_uint256.
Human,pytorch,pytorch,d3524ecdd6b23b1283bd5fbbfcafc8f1bb311be7,implementation,Long identifier,meta__scaled_dot_product_flash_attention_for_cpu_backward,5657,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/Human/pytorch$pytorch/Human/pytorch$pytorch/d3524ecdd6b23b1283bd5fbbfcafc8f1bb311be7/torch/_meta_registrations.py,Identifier'meta__scaled_dot_product_flash_attention_for_cpu_backward' exceeds the maximum length of 30 characters.
Human,unclecode,crawl4ai,c1041b9bbee1338ec89997bdf62e76c6a5f3ada6,implementation,Long statement,scrap,121,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/Human/unclecode$crawl4ai/Human/unclecode$crawl4ai/c1041b9bbee1338ec89997bdf62e76c6a5f3ada6/crawl4ai/content_scraping_strategy.py,A line with 341 chars in scrap exceeds the maximum length of 120 characters.
Human,unclecode,crawl4ai,c1041b9bbee1338ec89997bdf62e76c6a5f3ada6,implementation,Long statement,scrap,144,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/Human/unclecode$crawl4ai/Human/unclecode$crawl4ai/c1041b9bbee1338ec89997bdf62e76c6a5f3ada6/crawl4ai/content_scraping_strategy.py,A line with 340 chars in scrap exceeds the maximum length of 120 characters.
Human,unclecode,crawl4ai,c1041b9bbee1338ec89997bdf62e76c6a5f3ada6,implementation,Long statement,scrap,164,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/Human/unclecode$crawl4ai/Human/unclecode$crawl4ai/c1041b9bbee1338ec89997bdf62e76c6a5f3ada6/crawl4ai/content_scraping_strategy.py,A line with 199 chars in scrap exceeds the maximum length of 120 characters.
Human,unclecode,crawl4ai,c1041b9bbee1338ec89997bdf62e76c6a5f3ada6,implementation,Long statement,scrap,177,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/Human/unclecode$crawl4ai/Human/unclecode$crawl4ai/c1041b9bbee1338ec89997bdf62e76c6a5f3ada6/crawl4ai/content_scraping_strategy.py,A line with 179 chars in scrap exceeds the maximum length of 120 characters.
Human,oraios,serena,1d5cf33237309e5f98085fb5337f084019a980ea,implementation,Long identifier,_workspace_edit_to_edit_operations,318,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/Human/oraios$serena/Human/oraios$serena/1d5cf33237309e5f98085fb5337f084019a980ea/src/serena/code_editor.py,Identifier'_workspace_edit_to_edit_operations' exceeds the maximum length of 30 characters.
Human,pytorch,pytorch,d3524ecdd6b23b1283bd5fbbfcafc8f1bb311be7,implementation,Magic number,meta_convolution_backward,3443,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/Human/pytorch$pytorch/Human/pytorch$pytorch/d3524ecdd6b23b1283bd5fbbfcafc8f1bb311be7/torch/_meta_registrations.py,Magic number 2 used in meta_convolution_backward.
Human,pytorch,pytorch,d3524ecdd6b23b1283bd5fbbfcafc8f1bb311be7,implementation,Long lambda function,meta_repeat,4026,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/Human/pytorch$pytorch/Human/pytorch$pytorch/d3524ecdd6b23b1283bd5fbbfcafc8f1bb311be7/torch/_meta_registrations.py,A Lambda with 103 chars in meta_repeat exceeds the maximum length of 80 characters.
Human,huggingface,huggingface_hub,bebc1f7a3a79f70b8bbd1e70b33643be990a8a22,implementation,Long statement,test_translation_with_source_and_target_language,689,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/Human/huggingface$huggingface_hub/Human/huggingface$huggingface_hub/bebc1f7a3a79f70b8bbd1e70b33643be990a8a22/tests/test_inference_client.py,A line with 139 chars in test_translation_with_source_and_target_language exceeds the maximum length of 120 characters.
Human,mistralai,mistral-common,2c9f1762f8824e5d821840414ecb1b9e5267ffb3,design,Feature envy,,61,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/Human/mistralai$mistral-common/Human/mistralai$mistral-common/2c9f1762f8824e5d821840414ecb1b9e5267ffb3/tests/test_tekken.py,Function 'test_roundtrip' in module 'test_tekken' seems to access code elements that are outside of the module more than its internal to module members. It seems the method is more suitable in `tekken`.
Human,mistralai,mistral-common,2c9f1762f8824e5d821840414ecb1b9e5267ffb3,design,Feature envy,,149,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/Human/mistralai$mistral-common/Human/mistralai$mistral-common/2c9f1762f8824e5d821840414ecb1b9e5267ffb3/tests/test_tekken.py,Function 'test_isbyte' in module 'test_tekken' seems to access code elements that are outside of the module more than its internal to module members. It seems the method is more suitable in `tekken`.
Human,reflex-dev,reflex,71c1de681f88058579d535f58ae042b3e2455edd,implementation,Long statement,true_type_for_pydantic_field,244,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/Human/reflex-dev$reflex/Human/reflex-dev$reflex/71c1de681f88058579d535f58ae042b3e2455edd/reflex/utils/types.py,A line with 147 chars in true_type_for_pydantic_field exceeds the maximum length of 120 characters.
Human,neondatabase,neon,87fc0a03747c4c1e24b2a8ec1479ea97150fa433,implementation,Long statement,tenant_get_shards,5424,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/Human/neondatabase$neon/Human/neondatabase$neon/87fc0a03747c4c1e24b2a8ec1479ea97150fa433/test_runner/fixtures/neon_fixtures.py,A line with 543 chars in tenant_get_shards exceeds the maximum length of 120 characters.
Human,neondatabase,neon,87fc0a03747c4c1e24b2a8ec1479ea97150fa433,implementation,Long statement,tenant_get_shards,5445,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/Human/neondatabase$neon/Human/neondatabase$neon/87fc0a03747c4c1e24b2a8ec1479ea97150fa433/test_runner/fixtures/neon_fixtures.py,A line with 154 chars in tenant_get_shards exceeds the maximum length of 120 characters.
Human,keephq,keep,fdcdc0722565e168466d4a16dde1e7f4bd396865,implementation,Long statement,add_or_update_workflow,463,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/Human/keephq$keep/Human/keephq$keep/fdcdc0722565e168466d4a16dde1e7f4bd396865/keep/api/core/db.py,A line with 260 chars in add_or_update_workflow exceeds the maximum length of 120 characters.
Human,huggingface,huggingface_hub,bebc1f7a3a79f70b8bbd1e70b33643be990a8a22,implementation,Magic number,test_chat_completion_with_tool,386,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/Human/huggingface$huggingface_hub/Human/huggingface$huggingface_hub/bebc1f7a3a79f70b8bbd1e70b33643be990a8a22/tests/test_inference_client.py,Magic number 3 used in test_chat_completion_with_tool.
Human,livekit,agents,54ef4cec8372b9ef28ec1b99498a9379433de896,implementation,Complex method,_input_cli_task,278 - 314,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/Human/livekit$agents/Human/livekit$agents/54ef4cec8372b9ef28ec1b99498a9379433de896/livekit-agents/livekit/agents/pipeline/chat_cli.py,"Method '_input_cli_task' has a cyclomatic complexity of 11, exceeding the max of 6."
Human,livekit,agents,eb4a68eefd61f22e0a75a3d59bbd216079349e91,implementation,Complex method,_input_cli_task,261 - 297,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/Human/livekit$agents/Human/livekit$agents/eb4a68eefd61f22e0a75a3d59bbd216079349e91/livekit-agents/livekit/agents/pipeline/chat_cli.py,"Method '_input_cli_task' has a cyclomatic complexity of 11, exceeding the max of 6."
Human,livekit,agents,2fe9a6c21584fc3785b41eaddf32e4419db9b172,implementation,Complex method,_input_cli_task,275 - 311,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/Human/livekit$agents/Human/livekit$agents/2fe9a6c21584fc3785b41eaddf32e4419db9b172/livekit-agents/livekit/agents/pipeline/chat_cli.py,"Method '_input_cli_task' has a cyclomatic complexity of 11, exceeding the max of 6."
Human,livekit,agents,80cb9c45c431eec6132408592b8f5b10e3fc1fae,implementation,Complex method,_input_cli_task,250 - 286,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/Human/livekit$agents/Human/livekit$agents/80cb9c45c431eec6132408592b8f5b10e3fc1fae/livekit-agents/livekit/agents/pipeline/chat_cli.py,"Method '_input_cli_task' has a cyclomatic complexity of 11, exceeding the max of 6."
Human,livekit,agents,7fc317ad946cbdb30a1cfb78292d3579f7a24412,implementation,Complex method,_input_cli_task,138 - 172,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/Human/livekit$agents/Human/livekit$agents/7fc317ad946cbdb30a1cfb78292d3579f7a24412/livekit-agents/livekit/agents/pipeline/chat_cli.py,"Method '_input_cli_task' has a cyclomatic complexity of 11, exceeding the max of 6."
Human,PriorLabs,TabPFN,531f38c549ba4642bcfe3bdcf732c5aa2a163b61,implementation,Long identifier,test_internal_windows_total_memory,4,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/Human/PriorLabs$TabPFN/Human/PriorLabs$TabPFN/531f38c549ba4642bcfe3bdcf732c5aa2a163b61/tests/test_utils.py,Identifier'test_internal_windows_total_memory' exceeds the maximum length of 30 characters.
Human,microsoft,graphrag,ad4cdd685f4457acf06126e37594835f6d098b6b,implementation,Long statement,__init__,38,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/Human/microsoft$graphrag/Human/microsoft$graphrag/ad4cdd685f4457acf06126e37594835f6d098b6b/graphrag/query/structured_search/drift_search/primer.py,A line with 396 chars in __init__ exceeds the maximum length of 120 characters.
Human,microsoft,graphrag,ad4cdd685f4457acf06126e37594835f6d098b6b,implementation,Long statement,__init__,110,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/Human/microsoft$graphrag/Human/microsoft$graphrag/ad4cdd685f4457acf06126e37594835f6d098b6b/graphrag/query/structured_search/drift_search/primer.py,A line with 316 chars in __init__ exceeds the maximum length of 120 characters.
Human,BerriAI,litellm,6f32189093976dc71c8d8a1669d87992bc0aa64d,design,Insufficient modularization,,1,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/Human/BerriAI$litellm/Human/BerriAI$litellm/6f32189093976dc71c8d8a1669d87992bc0aa64d/litellm/utils.py,"Module 'utils' is insufficiently modularized with NOPM: 89, WMC: 1014, NOM: 132."
Human,BerriAI,litellm,6f32189093976dc71c8d8a1669d87992bc0aa64d,implementation,Long identifier,_get_model_info_from_model_cost,4033,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/Human/BerriAI$litellm/Human/BerriAI$litellm/6f32189093976dc71c8d8a1669d87992bc0aa64d/litellm/utils.py,Identifier'_get_model_info_from_model_cost' exceeds the maximum length of 30 characters.
