pr_url,owner,repo,pr_number,match_reason,sha,commit_url,author,author_date,commit_message,files_changed_count,files_changed,files_changed_detail
https://github.com/TonPlaygramBot/TonPlaygramWebApp/pull/549,TonPlaygramBot,TonPlaygramWebApp,549,COMMIT_MESSAGE_MATCH,7f97595bc86de42e68fd78151d4854c41105fb50,https://github.com/TonPlaygramBot/TonPlaygramWebApp/commit/7f97595bc86de42e68fd78151d4854c41105fb50,turdjali,2025-06-17T07:08:45Z,test: extend retries and log server output,2,test/manifest.test.js;test/snakeLobbyRoute.test.js,test/manifest.test.js|modified|+5|-2;test/snakeLobbyRoute.test.js|modified|+5|-2
https://github.com/shamykyzer/gravity-simulation/pull/5,shamykyzer,gravity-simulation,5,COMMIT_MESSAGE_MATCH,f22f3966bbe846d09cab9d1c6fe960c7124ce1ec,https://github.com/shamykyzer/gravity-simulation/commit/f22f3966bbe846d09cab9d1c6fe960c7124ce1ec,Shamy,2025-07-02T04:17:57Z,test: add quadtree unit test,3,Makefile;README.md;tests/test_quadtree.c,Makefile|modified|+7|-1;README.md|modified|+6|-0;tests/test_quadtree.c|added|+38|-0
https://github.com/skywardcloud/projectmgt/pull/21,skywardcloud,projectmgt,21,COMMIT_MESSAGE_MATCH,c145c2ea8593cc14673c7ce3870942313ac56fcc,https://github.com/skywardcloud/projectmgt/commit/c145c2ea8593cc14673c7ce3870942313ac56fcc,skywardcloud,2025-06-18T22:53:14Z,Add navigation reference,1,docs/navigation.md,docs/navigation.md|added|+44|-0
https://github.com/All8yMySelf/lb_1file/pull/184,All8yMySelf,lb_1file,184,COMMIT_MESSAGE_MATCH,bf0b80508503b739df1124e910c5ef2d6bc42b5a,https://github.com/All8yMySelf/lb_1file/commit/bf0b80508503b739df1124e910c5ef2d6bc42b5a,All8yMySelf,2025-06-22T09:47:09Z,Add concurrent wave feature,1,index.html,index.html|modified|+66|-21
https://github.com/All8yMySelf/lb_1file/pull/184,All8yMySelf,lb_1file,184,COMMIT_MESSAGE_MATCH,37e22f0697010d9530c6581293dd0de6dc4c1f9e,https://github.com/All8yMySelf/lb_1file/commit/37e22f0697010d9530c6581293dd0de6dc4c1f9e,All8yMySelf,2025-06-22T09:47:51Z,Merge branch 'main' into codex/add--send-next-wave--button-and-hud-update,1,index.html,index.html|modified|+12|-1
https://github.com/multiplex55/Multi_Launcher/pull/397,multiplex55,Multi_Launcher,397,COMMIT_MESSAGE_MATCH,60b582ae189a7c57664dd2a17c6108304207c1e1,https://github.com/multiplex55/Multi_Launcher/commit/60b582ae189a7c57664dd2a17c6108304207c1e1,multiplex55,2025-07-28T22:32:39Z,Fix macro steps with empty args,3,src/actions/exec.rs;src/gui/macro_dialog.rs;src/plugins/macros.rs,src/actions/exec.rs|modified|+10|-5;src/gui/macro_dialog.rs|modified|+7|-0;src/plugins/macros.rs|modified|+5|-0
https://github.com/black77dragon/DragonShield/pull/318,black77dragon,DragonShield,318,COMMIT_MESSAGE_MATCH,c7c846457f0209193573eec2b6cdcd5e1e647c58,https://github.com/black77dragon/DragonShield/commit/c7c846457f0209193573eec2b6cdcd5e1e647c58,Black Dragon,2025-07-21T04:03:31Z,feat(import): record cash accounts from CS CSV,2,CHANGELOG.md;DragonShield/Services/CreditSuisseCsvImporter.swift,CHANGELOG.md|modified|+1|-0;DragonShield/Services/CreditSuisseCsvImporter.swift|added|+87|-0
https://github.com/tergun/dev/pull/6,tergun,dev,6,COMMIT_MESSAGE_MATCH,71e184d14b856eab35934f3fb25264edbc14c852,https://github.com/tergun/dev/commit/71e184d14b856eab35934f3fb25264edbc14c852,Devin AI,2025-02-20T06:25:15Z,feat: add uniapp project list with images\n\nCo-Authored-By: pu uni <tierong2@gmail.com>,2,pages.json;pages/project/list.vue,pages.json|added|+22|-0;pages/project/list.vue|added|+218|-0
https://github.com/coldworld22/Skillbridge/pull/1203,coldworld22,Skillbridge,1203,COMMIT_MESSAGE_MATCH,4bfaab88aa32012bc11fc93da09915f887897b55,https://github.com/coldworld22/Skillbridge/commit/4bfaab88aa32012bc11fc93da09915f887897b55,Ayman Mohammed Osman Bashir,2025-07-27T20:23:36Z,feat: add role-aware layout to support submit,1,frontend/src/pages/support/submit.js,frontend/src/pages/support/submit.js|modified|+31|-12
https://github.com/brunenrique/bhc/pull/10,brunenrique,bhc,10,COMMIT_MESSAGE_MATCH,32297f25e8f5eedf4ab19d327dbceaa6f8cf2c3f,https://github.com/brunenrique/bhc/commit/32297f25e8f5eedf4ab19d327dbceaa6f8cf2c3f,brunenrique,2025-06-12T02:56:13Z,Add AI service and API routes,6,src/app/api/ai/report-draft/route.ts;src/app/api/ai/session-insights/route.ts;src/app/api/ai/session-note-template/route.ts;src/components/forms/template-editor.tsx;src/components/patients/session-note-card.tsx;src/services/aiService.ts,src/app/api/ai/report-draft/route.ts|added|+13|-0;src/app/api/ai/session-insights/route.ts|added|+13|-0;src/app/api/ai/session-note-template/route.ts|added|+13|-0;src/components/forms/template-editor.tsx|modified|+2|-1;src/components/patients/session-note-card.tsx|modified|+17|-19;src/services/aiService.ts|added|+42|-0
https://github.com/hassonor/image-search-app/pull/18,hassonor,image-search-app,18,COMMIT_MESSAGE_MATCH,80ce8c12d74bce067670d2c678717a0f5cbf4515,https://github.com/hassonor/image-search-app/commit/80ce8c12d74bce067670d2c678717a0f5cbf4515,Or Hasson,2025-05-17T13:57:18Z,Fix coverage path for file_reader_service,1,file_reader_service/tests/pytest.ini,file_reader_service/tests/pytest.ini|modified|+3|-1
https://github.com/ShaheedFazal/customize-windows-setup/pull/118,ShaheedFazal,customize-windows-setup,118,COMMIT_MESSAGE_MATCH,42946a9b5437dfbe16b5ec5fdc7fbf704eef02f9,https://github.com/ShaheedFazal/customize-windows-setup/commit/42946a9b5437dfbe16b5ec5fdc7fbf704eef02f9,ShaheedFazal,2025-06-10T14:06:22Z,Fix trigger creation in daily shutdown script,1,includes/Schedule-Daily-Shutdown.ps1,includes/Schedule-Daily-Shutdown.ps1|modified|+8|-6
https://github.com/ShaheedFazal/customize-windows-setup/pull/118,ShaheedFazal,customize-windows-setup,118,COMMIT_MESSAGE_MATCH,a97a8823718ff4ae7bbc7145f613b76da6b1104e,https://github.com/ShaheedFazal/customize-windows-setup/commit/a97a8823718ff4ae7bbc7145f613b76da6b1104e,ShaheedFazal,2025-06-10T15:00:03Z,Merge branch 'main' into codex/fix-invalid-parameters-in-scheduled-task-trigger,11,README.md;includes/Install-EssentialApps.ps1;includes/Schedule-Daily-Shutdown.ps1;includes/Set-OfficeSuiteDefaults.ps1;includes/Set-PasswordPolicy.ps1;includes/Shared-Functions.ps1;includes/Strengthen-Privacy.ps1;includes/Uninstall-Default-Software-Packages.ps1;includes/ZZ-Enable-BitLocker.ps1;includes/ZZ-Set-ChromeFileAssociations.ps1;includes/ZZZ-Set-WallpaperWithStats.ps1,README.md|modified|+4|-4;includes/Install-EssentialApps.ps1|modified|+21|-0;includes/Schedule-Daily-Shutdown.ps1|modified|+2|-6;includes/Set-OfficeSuiteDefaults.ps1|modified|+4|-4;includes/Set-PasswordPolicy.ps1|modified|+2|-1;includes/Shared-Functions.ps1|modified|+60|-17;includes/Strengthen-Privacy.ps1|modified|+12|-3;includes/Uninstall-Default-Software-Packages.ps1|modified|+15|-6;includes/ZZ-Enable-BitLocker.ps1|modified|+17|-6;includes/ZZ-Set-ChromeFileAssociations.ps1|modified|+2|-2;includes/ZZZ-Set-WallpaperWithStats.ps1|modified|+50|-6
https://github.com/danielmmerino/back_trivia/pull/21,danielmmerino,back_trivia,21,COMMIT_MESSAGE_MATCH,9a93bc3655d1f3997a2288ea98e02296a8f88c12,https://github.com/danielmmerino/back_trivia/commit/9a93bc3655d1f3997a2288ea98e02296a8f88c12,danielmmerino,2025-07-22T01:23:33Z,Add publicar_resultados API,4,app/Http/Controllers/ResultController.php;app/Models/MatchResult.php;database/migrations/2025_07_22_000004_create_partida_resultados_table.php;routes/api.php,app/Http/Controllers/ResultController.php|added|+43|-0;app/Models/MatchResult.php|added|+19|-0;database/migrations/2025_07_22_000004_create_partida_resultados_table.php|added|+25|-0;routes/api.php|modified|+4|-0
https://github.com/dancxjo/daringsby/pull/414,dancxjo,daringsby,414,COMMIT_MESSAGE_MATCH,8ad237b61c41a4b9445354fea0b8702e02196b35,https://github.com/dancxjo/daringsby/commit/8ad237b61c41a4b9445354fea0b8702e02196b35,Travis Reed,2025-06-23T06:57:43Z,add changelog entry,6,AGENTS.md;CHANGELOG.md;README.md;psyche/src/lib.rs;psyche/src/prehension.rs;psyche/tests/prehension.rs,AGENTS.md|modified|+1|-1;CHANGELOG.md|added|+4|-0;README.md|modified|+3|-4;psyche/src/lib.rs|modified|+0|-2;psyche/src/prehension.rs|removed|+0|-86;psyche/tests/prehension.rs|removed|+0|-56
https://github.com/Lumorn/hla_translation_tool/pull/668,Lumorn,hla_translation_tool,668,COMMIT_MESSAGE_MATCH,4bacbda7d6ce6155a596ec44173973a8d9eaa5b7,https://github.com/Lumorn/hla_translation_tool/commit/4bacbda7d6ce6155a596ec44173973a8d9eaa5b7,Lumorn,2025-06-23T11:29:51Z,Cleanup temp dirs in watcher tests,2,tests/showDubbingSettings.test.js;tests/watcher.test.js,tests/showDubbingSettings.test.js|modified|+3|-2;tests/watcher.test.js|modified|+6|-0
https://github.com/EoghannIrving/echo_journal/pull/180,EoghannIrving,echo_journal,180,COMMIT_MESSAGE_MATCH,f36531350f78f918462234d3f46c5e3fa6f54336,https://github.com/EoghannIrving/echo_journal/commit/f36531350f78f918462234d3f46c5e3fa6f54336,Eoghann Mill Irving,2025-07-26T14:41:42Z,Add pagination when fetching Jellyfin plays,2,jellyfin_utils.py;tests/test_jellyfin_utils.py,jellyfin_utils.py|modified|+33|-15;tests/test_jellyfin_utils.py|modified|+26|-19
https://github.com/EoghannIrving/echo_journal/pull/180,EoghannIrving,echo_journal,180,COMMIT_MESSAGE_MATCH,e7c5e13dcc2809981c77b3a09b0c28074113a694,https://github.com/EoghannIrving/echo_journal/commit/e7c5e13dcc2809981c77b3a09b0c28074113a694,Eoghann Mill Irving,2025-07-26T16:14:10Z,Document Jellyfin pagination env var,2,.env.example;README.md,.env.example|modified|+1|-0;README.md|modified|+2|-0
https://github.com/EoghannIrving/echo_journal/pull/180,EoghannIrving,echo_journal,180,COMMIT_MESSAGE_MATCH,a2cad1c322296a261f9e0a89393757e37796b173,https://github.com/EoghannIrving/echo_journal/commit/a2cad1c322296a261f9e0a89393757e37796b173,Eoghann Mill Irving,2025-07-26T16:18:26Z,Merge branch 'main' into codex/implement-pagination-for-jellyfin-plays,2,jellyfin_utils.py;tests/test_jellyfin_utils.py,jellyfin_utils.py|modified|+11|-3;tests/test_jellyfin_utils.py|modified|+52|-1
https://github.com/KristopherKubicki/norman/pull/322,KristopherKubicki,norman,322,COMMIT_MESSAGE_MATCH,ce095353f0dfdacdb97c48f0b3bdf2808c415542,https://github.com/KristopherKubicki/norman/commit/ce095353f0dfdacdb97c48f0b3bdf2808c415542,Kristopher Kubicki,2025-06-05T00:40:28Z,Expand Instagram DM connector,1,app/connectors/instagram_dm_connector.py,app/connectors/instagram_dm_connector.py|modified|+35|-8
https://github.com/jrkropp/open-webui-developer-toolkit/pull/309,jrkropp,open-webui-developer-toolkit,309,COMMIT_MESSAGE_MATCH,73a597319b78e3b9cf5c18a55abb3299540e62c2,https://github.com/jrkropp/open-webui-developer-toolkit/commit/73a597319b78e3b9cf5c18a55abb3299540e62c2,jrkropp,2025-05-23T03:56:21Z,Simplify web search tool addition,2,.tests/test_web_search_toggle_filter.py;functions/filters/web_search_toggle_filter.py,.tests/test_web_search_toggle_filter.py|modified|+4|-10;functions/filters/web_search_toggle_filter.py|modified|+7|-16
https://github.com/bardhh/cbfkit/pull/6,bardhh,cbfkit,6,COMMIT_MESSAGE_MATCH,5b546cc50c4daa923c27879d0760d36591b30265,https://github.com/bardhh/cbfkit/commit/5b546cc50c4daa923c27879d0760d36591b30265,Bardh Hoxha,2025-05-21T02:32:34Z,Update extract_log signature,1,src/cbfkit/utils/logger.py,src/cbfkit/utils/logger.py|modified|+2|-2
https://github.com/pablovin/Shrecknet/pull/126,pablovin,Shrecknet,126,COMMIT_MESSAGE_MATCH,a09bf3405b89470436740e6e15513685df365c0e,https://github.com/pablovin/Shrecknet/commit/a09bf3405b89470436740e6e15513685df365c0e,Pablo Barros,2025-06-21T19:50:41Z,Add dedicated agent settings routes,5,frontend/src/app/agents_settings/agent_conversational/page.tsx;frontend/src/app/agents_settings/agent_novelist/page.tsx;frontend/src/app/agents_settings/agent_specialists/page.tsx;frontend/src/app/agents_settings/agent_writers/page.tsx;frontend/src/app/agents_settings/page.tsx,frontend/src/app/agents_settings/agent_conversational/page.tsx|added|+5|-0;frontend/src/app/agents_settings/agent_novelist/page.tsx|added|+5|-0;frontend/src/app/agents_settings/agent_specialists/page.tsx|added|+5|-0;frontend/src/app/agents_settings/agent_writers/page.tsx|added|+5|-0;frontend/src/app/agents_settings/page.tsx|modified|+20|-4
https://github.com/coldworld22/Skillbridge/pull/152,coldworld22,Skillbridge,152,COMMIT_MESSAGE_MATCH,5ae9820b60ef228a9bdc84cf9fd32a8359e3189e,https://github.com/coldworld22/Skillbridge/commit/5ae9820b60ef228a9bdc84cf9fd32a8359e3189e,Ayman Mohammed Osman Bashir,2025-06-18T13:15:20Z,style: center ad overlay in hero,1,frontend/src/components/website/sections/Hero.js,frontend/src/components/website/sections/Hero.js|modified|+2|-2
https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/323,MontrealAI,AGI-Alpha-Agent-v0,323,COMMIT_MESSAGE_MATCH,11ba155c3fa5f5a777bc32492c27b505c1bef4c2,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/commit/11ba155c3fa5f5a777bc32492c27b505c1bef4c2,Montreal.AI,2025-05-18T21:08:07Z,Add OpenAI Agents bridge for AI-GA demo,3,alpha_factory_v1/demos/aiga_meta_evolution/README.md;alpha_factory_v1/demos/aiga_meta_evolution/openai_agents_bridge.py;tests/test_openai_bridge.py,alpha_factory_v1/demos/aiga_meta_evolution/README.md|modified|+13|-0;alpha_factory_v1/demos/aiga_meta_evolution/openai_agents_bridge.py|added|+64|-0;tests/test_openai_bridge.py|modified|+5|-0
https://github.com/marcodenic/agentry/pull/57,marcodenic,agentry,57,COMMIT_MESSAGE_MATCH,7197bcf6757ad8f65f5a1f90ce0ac762c837272c,https://github.com/marcodenic/agentry/commit/7197bcf6757ad8f65f5a1f90ce0ac762c837272c,Marco De Nichilo,2025-06-22T21:09:19Z,Add plugin install command and registration,5,cmd/agentry/main.go;cmd/agentry/plugin.go;internal/plugin/install.go;internal/tool/plugin.go;tests/plugin_install_test.go,cmd/agentry/main.go|modified|+2|-0;cmd/agentry/plugin.go|added|+29|-0;internal/plugin/install.go|added|+46|-0;internal/tool/plugin.go|added|+6|-0;tests/plugin_install_test.go|added|+48|-0
https://github.com/JackSmack1971/ohlcv-data-downloader/pull/6,JackSmack1971,ohlcv-data-downloader,6,COMMIT_MESSAGE_MATCH,908935dad50e8bd635ae99459f7d6372c2ba84bc,https://github.com/JackSmack1971/ohlcv-data-downloader/commit/908935dad50e8bd635ae99459f7d6372c2ba84bc,JackSmack1971,2025-07-19T17:21:08Z,[SECURITY] Fix SEC-2025-011: implement certificate pinning,3,.flake8;secure_ohlcv_downloader.py;tests/test_ssl_pinning.py,.flake8|added|+3|-0;secure_ohlcv_downloader.py|modified|+44|-2;tests/test_ssl_pinning.py|added|+9|-0
https://github.com/izknhyt/tango/pull/151,izknhyt,tango,151,COMMIT_MESSAGE_MATCH,882773ae233d553183ef2fd50073ea2461b4cc45,https://github.com/izknhyt/tango/commit/882773ae233d553183ef2fd50073ea2461b4cc45,izknhyt,2025-07-01T22:32:07Z,refactor: extract home stats provider,3,lib/home_stats_provider.dart;lib/tabs_content/home_tab_content.dart;test/home_stats_provider_test.dart,lib/home_stats_provider.dart|added|+21|-0;lib/tabs_content/home_tab_content.dart|modified|+37|-48;test/home_stats_provider_test.dart|added|+36|-0
https://github.com/xinliu97/interview-help/pull/6,xinliu97,interview-help,6,COMMIT_MESSAGE_MATCH,46e34c6fd3618b93f415628463f3fa361e740c4e,https://github.com/xinliu97/interview-help/commit/46e34c6fd3618b93f415628463f3fa361e740c4e,Devin AI,2025-02-11T02:59:04Z,fix: update dockerfile location for render.com deployment\n\n- Add root .gitignore to exclude Dockerfile symlink\n- Update render.yaml to use Docker environment\n- Configure Dockerfile path for render.com\n\nCo-Authored-By: Xin <xin.liu0727@gmail.com>,2,.gitignore;backend/render.yaml,.gitignore|added|+1|-0;backend/render.yaml|modified|+2|-5
https://github.com/vincentDevin/elonmusksucks/pull/8,vincentDevin,elonmusksucks,8,COMMIT_MESSAGE_MATCH,65273b0659ea7ca838fec5e3558590b25fd5c61a,https://github.com/vincentDevin/elonmusksucks/commit/65273b0659ea7ca838fec5e3558590b25fd5c61a,Devin Vincent,2025-07-18T23:54:47Z,feat: add prediction market context and redis events,9,apps/client/src/App.tsx;apps/client/src/components/BetForm.tsx;apps/client/src/components/ParlayModal.tsx;apps/client/src/components/dashboard/ParlayPanel.tsx;apps/client/src/components/dashboard/PredictionPanel.tsx;apps/client/src/contexts/PredictionMarketContext.tsx;apps/client/src/pages/Predictions.tsx;apps/server/src/handlers/redisEventHandlers.ts;apps/server/src/socket.ts,apps/client/src/App.tsx|modified|+8|-5;apps/client/src/components/BetForm.tsx|modified|+3|-2;apps/client/src/components/ParlayModal.tsx|modified|+8|-4;apps/client/src/components/dashboard/ParlayPanel.tsx|modified|+2|-2;apps/client/src/components/dashboard/PredictionPanel.tsx|modified|+3|-2;apps/client/src/contexts/PredictionMarketContext.tsx|added|+64|-0;apps/client/src/pages/Predictions.tsx|modified|+5|-5;apps/server/src/handlers/redisEventHandlers.ts|modified|+4|-0;apps/server/src/socket.ts|modified|+1|-0
https://github.com/falseywinchnet/airspyhf/pull/16,falseywinchnet,airspyhf,16,COMMIT_MESSAGE_MATCH,6ddf624500869e888de4aabdf35dfaa276f211c4,https://github.com/falseywinchnet/airspyhf/commit/6ddf624500869e888de4aabdf35dfaa276f211c4,falseywinchnet,2025-06-04T21:44:17Z,docs: add enumeration tests and update notes,3,rust-migration/libairspyhf/src/lib.rs;rust-migration/notes.txt;rust-migration/todo.txt,rust-migration/libairspyhf/src/lib.rs|modified|+27|-1;rust-migration/notes.txt|modified|+3|-0;rust-migration/todo.txt|modified|+6|-6
